"State","Agency.type","Agency.name","Race","Religion","Sexual.orientation","Ethnicity","Disability","Gender","Gender.Identity","X1st.quarter","X2nd.quarter","X3rd.quarter","X4th.quarter","Population","Total_Complaints"
"Kansas","Cities","Pittsburg",1,0,0,0,0,"0",0,0,1,0,0,20395,1
"New_Hampshire","Cities","Londonderry",0,1,0,0,0,"0",0,0,1,0,0,24338,1
"Washington","Cities","Clarkston",1,0,0,0,0,"0",0,0,1,0,0,7295,1
"New_Jersey","Cities","Lakewood Township",5,15,0,3,0,"0",0,2,6,7,8,92664,23
"Connecticut","Cities","Canton",0,0,1,0,0,"0",0,0,0,1,0,10369,1
"Michigan","Cities","Buena Vista Township",0,0,1,0,0,"0",0,0,0,1,0,8500,1
"Washington","Cities","Mercer Island",0,1,0,0,0,"0",0,0,1,0,0,23969,1
"California","Cities","Riverside",11,1,1,2,0,"0",1,7,4,0,5,316423,16
"Maryland","Cities","Frederick",2,0,0,0,0,"0",0,0,0,1,1,66709,2
"Colorado","Cities","Littleton",1,0,0,0,0,"0",0,1,0,0,0,44375,1
"New_York","Universities and Colleges","State University of New York College: Fredonia",1,0,0,0,0,"0",0,0,1,0,0,5521,1
"Michigan","Cities","Inkster",3,0,0,0,0,"0",0,2,0,0,1,24850,3
"New_Jersey","Cities","Spotswood",0,2,0,0,0,"0",0,0,1,1,0,8459,2
"California","Cities","Corona",0,0,0,1,0,"0",0,0,0,0,1,160159,1
"New_Hampshire","Cities","Bedford",1,0,0,0,0,"0",0,0,1,0,0,21645,1
"Ohio","Cities","Grove City",3,0,0,1,0,"0",0,1,2,1,0,37208,4
"New_Hampshire","Cities","Hampton",1,0,0,0,0,"0",0,0,0,1,0,15067,1
"Kentucky","Cities","Corbin",2,0,0,0,0,"0",0,0,0,1,1,7257,2
"South_Carolina","Cities","Hardeeville",0,0,0,1,0,"0",0,0,1,0,0,4064,1
"Utah","Cities","Brigham City",2,0,0,0,0,"0",0,1,0,1,0,18217,2
"New_Jersey","Cities","Secaucus",0,2,2,0,0,"0",0,0,1,0,3,19119,4
"New_Jersey","Cities","West Deptford Township",3,1,0,1,0,"0",0,3,1,1,0,21497,5
"Montana","Cities","Billings",5,1,1,0,0,"0",0,1,2,1,3,107802,7
"Tennessee","Cities","Shelbyville",0,0,1,0,0,"0",0,0,0,1,0,20669,1
"Kansas","Cities","Gardner",0,1,0,0,0,"0",0,0,1,0,0,20708,1
"Ohio","Cities","Trotwood",1,0,1,0,0,"0",0,0,2,0,0,24282,2
"Utah","Cities","St. George",2,1,0,0,0,"0",0,2,1,0,0,76427,3
"Michigan","Cities","Shelby Township",2,0,0,0,0,"0",0,0,0,1,1,75347,2
"Michigan","Cities","Harper Woods",1,0,0,0,0,"0",0,0,1,0,0,13922,1
"California","Cities","Bakersfield",2,1,0,0,0,"0",0,0,0,2,1,361859,3
"Washington","Cities","Kent3",8,0,1,0,0,"0",0,0,5,2,2,124359,9
"Massachusetts","Cities","Lunenburg",1,0,0,0,0,"0",0,0,0,0,1,11149,1
"North_Carolina","Cities","Mint Hill",1,0,0,0,0,"0",0,0,1,0,0,24350,1
"Virginia","Cities","Poquoson",1,0,0,0,0,"0",0,1,0,0,0,12108,1
"New_York","Universities and Colleges","Ithaca College",0,0,0,1,0,"0",0,0,1,0,0,6759,1
"California","Universities and Colleges","California State Polytechnic University: Pomona",0,0,0,1,0,"0",0,1,0,0,0,22156,1
"Michigan","Cities","Woodhaven",1,0,0,0,0,"0",0,0,0,0,1,12652,1
"California","Universities and Colleges","California State University: Dominguez Hills",1,0,1,0,0,"0",0,1,0,1,0,13933,2
"New_Jersey","Cities","Jersey City",2,0,2,1,0,"0",0,0,3,0,2,256886,5
"North_Dakota","Cities","West Fargo",6,1,0,1,0,"0",0,1,2,2,3,28018,8
"Wisconsin","Cities","Burlington",1,0,0,0,0,"0",0,0,0,0,1,10502,1
"California","Cities","Lomita",0,0,0,1,0,"0",0,0,1,0,0,20622,1
"Florida","Cities","Melbourne",1,1,0,0,0,"0",0,1,0,0,1,77277,2
"Maryland","Universities and Colleges","Towson University",1,0,0,0,0,"0",0,0,1,0,0,21960,1
"North_Dakota","Cities","Bismarck",0,0,1,5,0,"0",0,3,0,2,1,65850,6
"New_Jersey","Cities","Aberdeen Township",8,1,2,0,0,"0",0,1,6,1,3,18150,11
"South_Carolina","Cities","Goose Creek",1,0,0,0,0,"0",0,0,0,1,0,39425,1
"Missouri","Cities","Raytown",1,0,0,0,0,"0",0,0,0,0,1,29501,1
"Ohio","Cities","East Palestine",1,0,0,0,0,"0",0,0,0,1,0,4631,1
"New_Jersey","Cities","Hightstown",1,1,0,1,0,"0",0,0,1,1,1,5572,3
"California","Cities","Rolling Hills Estates",1,0,0,0,0,"0",0,0,0,0,1,8229,1
"Minnesota","Cities","St. Paul",24,4,2,0,0,"0",0,0,18,11,1,294690,30
"Tennessee","Cities","Athens",1,0,0,0,0,"0",0,0,0,1,0,13504,1
"Massachusetts","Cities","Stoughton",0,1,0,0,0,"0",0,0,1,0,0,28186,1
"Florida","Cities","Pompano Beach",1,1,0,1,0,"0",0,0,0,0,3,103971,3
"Washington","Cities","Ferndale",1,1,0,0,0,"0",0,1,1,0,0,12173,2
"Delaware","Cities","Seaford",1,0,0,0,0,"0",0,0,0,1,0,7241,1
"Massachusetts","Cities","Amesbury",0,1,0,0,0,"0",0,0,1,0,0,16655,1
"Tennessee","Cities","Collegedale",1,0,0,0,0,"0",0,0,0,1,0,9468,1
"Alabama","Cities","Hoover",0,0,1,0,0,"0",0,0,1,0,0,84139,1
"New_Hampshire","Universities and Colleges","University of New Hampshire",1,0,1,0,0,NA,NA,1,0,1,0,15267,2
"Tennessee","Universities and Colleges","Vanderbilt University",3,1,1,0,0,"0",0,1,1,0,3,12710,5
"Washington","Cities","Milton",0,0,1,0,0,"0",0,0,1,0,0,7076,1
"California","Cities","La Habra",0,1,0,0,0,"0",0,0,0,1,0,61740,1
"New_Jersey","Cities","Medford Lakes",0,0,1,0,0,"0",0,0,1,0,0,4196,1
"South_Carolina","Cities","Salley",1,0,0,0,0,"0",0,0,0,1,0,412,1
"Ohio","Cities","Hudson",1,0,0,1,0,"0",0,1,0,1,0,22340,2
"Kentucky","Cities","Hazard",1,0,0,0,0,"0",0,0,0,1,0,5455,1
"New_Jersey","Cities","Woodbury Heights",1,0,0,0,0,"0",0,1,0,0,0,3026,1
"Massachusetts","Cities","Fall River",1,0,0,0,0,"0",0,1,0,0,0,89220,1
"Minnesota","Cities","Plymouth",3,2,2,0,0,"0",0,0,3,4,0,73684,7
"Florida","Cities","North Port",0,0,1,0,0,"0",0,0,1,0,0,58699,1
"California","Cities","Campbell",1,0,0,0,0,"0",0,0,1,0,0,40549,1
"Tennessee","Cities","Murfreesboro",0,0,1,0,0,"0",0,0,0,0,1,115587,1
"Utah","Cities","Heber",0,1,0,0,0,"0",0,0,1,0,NA,12544,1
"California","Cities","Ventura",0,1,0,0,0,"0",0,1,0,0,0,108204,1
"Kentucky","Cities","Carrollton",1,0,0,0,0,"0",0,0,0,0,1,3966,1
"Michigan","Cities","Clare",1,0,0,0,0,"0",0,0,0,1,0,3095,1
"South_Carolina","Cities","Chapin",1,0,0,0,0,"0",0,0,0,0,1,1506,1
"Illinois","Cities","St. Charles",0,0,1,1,0,"0",0,1,1,0,0,33433,2
"Colorado","Cities","Steamboat Springs",0,0,0,1,0,"0",0,0,0,1,0,12008,1
"California","Cities","Compton",1,0,1,0,0,"0",0,0,1,0,1,97907,2
"Ohio","Cities","Lorain",7,0,0,0,0,"0",0,0,5,1,1,63582,7
"Wisconsin","Cities","Milwaukee",5,1,3,0,0,"0",0,1,3,4,1,600805,9
"Massachusetts","Cities","Watertown",0,0,0,1,0,"0",0,0,1,0,0,33254,1
"Tennessee","Cities","Tullahoma",1,0,0,0,0,"0",0,0,0,0,1,18773,1
"New_Jersey","Cities","Brick Township",2,1,0,1,0,"0",0,1,2,1,0,75371,4
"Missouri","Cities","Kansas City",30,7,14,5,1,"4",2,13,17,21,12,465514,63
"New_Jersey","Cities","Watchung",0,1,0,0,0,"0",0,0,0,1,0,5844,1
"New_Jersey","Cities","Jackson Township",2,1,0,0,0,"0",0,1,0,0,2,55817,3
"New_Jersey","Cities","Mount Laurel Township",0,0,0,1,0,"0",0,0,0,0,1,41839,1
"Michigan","Cities","Bath Township",1,0,0,0,0,"0",0,0,0,1,0,11761,1
"Colorado","Cities","Lone Tree",0,0,1,0,0,"0",0,0,0,1,0,12056,1
"South_Dakota","Cities","Mitchell",1,0,0,0,0,"0",0,0,0,1,0,15555,1
"Kentucky","Cities","Shepherdsville",0,1,0,0,0,"0",0,0,0,1,0,11534,1
"California","Cities","Eureka",1,0,1,0,0,"0",0,1,1,0,0,26881,2
"Kansas","Cities","Lansing",2,0,0,0,0,"0",0,0,0,2,0,11688,2
"Oregon","Cities","Bend",0,2,0,1,0,"0",0,2,0,1,0,79926,3
"New_Jersey","Cities","Livingston Township",2,0,0,0,0,"0",0,0,0,2,0,29621,2
"Ohio","Cities","Richwood",1,0,0,0,0,"0",0,0,1,0,0,2240,1
"Washington","Cities","Federal Way",3,4,4,0,0,"0",0,1,3,3,4,92741,11
"Minnesota","Cities","Bemidji",0,0,1,0,0,"0",0,0,1,0,0,13805,1
"Connecticut","Cities","Milford",4,1,0,0,0,"0",0,NA,2,4,NA,53041,6
"Michigan","Cities","Warren",7,1,0,0,0,"1",0,0,0,4,5,134167,9
"Texas","Universities and Colleges","Amarillo College",1,0,0,0,0,"0",0,1,0,0,0,11530,1
"Connecticut","Cities","Groton Town",1,0,0,0,1,"0",0,0,1,1,0,29946,2
"Massachusetts","Cities","Boston",73,21,53,15,0,"0",3,39,56,40,30,643799,165
"New_Jersey","Cities","East Brunswick Township",1,10,2,1,0,"0",0,3,4,3,4,48073,14
"Texas","Cities","Pasadena",1,0,0,0,0,"0",0,1,0,0,0,153195,1
"New_Hampshire","Cities","Hanover",0,0,1,0,0,"0",0,0,1,0,0,11195,1
"New_York","Universities and Colleges","State University of New York: Binghamton",0,2,0,0,0,"0",1,0,0,3,1,15308,4
"Florida","Cities","Jupiter",1,0,1,0,0,"0",0,1,1,0,0,57826,2
"California","Cities","Salinas",0,0,1,1,0,"0",0,0,0,0,2,155742,2
"Connecticut","Cities","Plymouth",0,1,1,0,0,"0",0,0,1,1,0,12043,2
"Texas","Cities","Beaumont",3,0,0,0,0,"0",0,2,1,0,0,118177,3
"Virginia","Universities and Colleges","George Mason University",0,3,0,0,0,"0",0,1,0,2,0,32961,3
"Michigan","Cities","Taylor",1,0,2,0,0,"0",0,1,2,0,0,61836,3
"Massachusetts","Cities","Lincoln",0,0,1,0,0,"0",0,0,0,0,1,6563,1
"Texas","Cities","Austin",0,0,1,3,0,"0",0,2,1,1,0,859180,4
"Oklahoma","Cities","Elk City",1,0,0,0,0,"0",0,1,0,0,0,12463,1
"Missouri","Cities","Joplin",2,0,0,0,0,"0",0,2,0,0,0,49272,2
"Illinois","Cities","Berwyn",1,0,0,0,0,"0",0,0,1,0,0,56838,1
"Michigan","Cities","Blackman Township",3,0,0,0,0,"0",0,0,1,0,2,38115,3
"New_York","Cities","Sleepy Hollow Village",0,2,0,0,0,"0",0,0,1,1,0,9996,2
"California","Universities and Colleges","California State University: Stanislaus",0,0,1,0,0,"0",0,0,0,0,1,8882,1
"Ohio","Cities","Troy",1,0,0,0,0,"0",0,0,1,0,0,25424,1
"Oklahoma","Cities","Cleveland",0,0,0,1,0,"0",0,0,1,0,0,3224,1
"Oregon","Cities","Newberg-Dundee",0,0,0,1,0,"0",0,0,0,1,0,25647,1
"Texas","Cities","Houston",4,0,5,4,0,"0",0,4,5,1,3,2180606,13
"Massachusetts","Cities","Marlborough",0,0,0,1,0,"0",0,0,0,1,0,39531,1
"Ohio","Cities","Riverside",2,0,0,0,0,"0",0,0,0,1,1,25115,2
"California","Cities","Lake Elsinore",0,2,0,0,0,"0",0,0,0,2,0,56232,2
"Washington","Cities","Maple Valley",0,0,1,0,0,"0",0,0,0,1,0,24644,1
"California","Cities","Fullerton",0,1,1,0,0,"0",0,1,0,0,1,139676,2
"Maine","Cities","Portland",1,1,0,0,0,"0",0,0,1,1,0,66256,2
"Vermont","Cities","Bennington",1,0,0,0,0,"0",0,0,0,0,1,15492,1
"Michigan","Cities","Highland Park",0,1,0,0,0,"0",0,0,0,0,1,11591,1
"Tennessee","Cities","Jonesborough",0,0,0,4,1,"0",0,0,0,2,3,5163,5
"Maine","Cities","Belfast",0,0,1,0,0,"0",0,1,0,0,0,6654,1
"Colorado","Cities","Glenwood Springs",0,0,1,0,0,"0",0,0,0,1,0,9715,1
"California","Cities","Holtville",0,1,0,0,0,"0",0,0,0,0,1,6022,1
"North_Carolina","Cities","Greenville",1,0,0,0,0,"0",0,0,1,0,0,88018,1
"West_Virginia","Cities","Morgantown",0,0,0,1,0,"0",0,0,0,1,0,31406,1
"Pennsylvania","Cities","Reading",0,0,3,0,0,"0",0,1,1,1,0,88107,3
"Washington","Cities","Granite Falls",1,0,0,0,0,"0",0,1,0,0,NA,3435,1
"Connecticut","Universities and Colleges","Central Connecticut State University",0,0,1,0,0,"0",0,0,0,0,1,12091,1
"Massachusetts","Cities","Swampscott",1,0,0,0,0,"0",0,1,0,0,0,13995,1
"California","Cities","Newark",2,0,0,1,0,"0",0,1,1,0,1,43950,3
"Ohio","Cities","Bath Township, Summit County",0,0,1,0,0,"0",0,0,0,1,0,9724,1
"Maine","Cities","Auburn",2,0,0,0,0,"0",0,0,0,2,0,22948,2
"Colorado","Cities","Grand Junction",4,0,1,0,0,"0",0,1,1,2,1,60167,5
"Virginia","Cities","Danville",0,0,1,0,0,"0",0,1,0,0,0,43133,1
"Tennessee","Cities","Elizabethton",0,0,1,0,0,"0",0,0,0,1,0,14220,1
"Tennessee","Cities","Graysville",2,0,0,0,0,"0",0,0,1,1,0,1512,2
"Texas","Cities","Vidor",1,0,0,0,0,"0",0,0,0,1,0,10984,1
"Ohio","Cities","Zanesville",1,1,2,0,0,"0",0,1,2,0,1,25378,4
"Utah","Cities","Farmington",2,0,1,0,0,"0",0,0,3,0,0,21582,3
"California","Cities","Gridley",0,0,0,1,0,"0",0,1,0,0,0,6563,1
"California","Cities","Glendora",1,0,0,0,0,"0",0,1,0,0,0,50893,1
"California","Cities","Carson",1,0,0,0,0,"0",0,0,0,0,1,93415,1
"Ohio","Cities","Girard",1,0,0,0,0,"0",0,0,0,1,0,9771,1
"Massachusetts","Cities","Greenfield",0,0,1,0,0,"0",0,0,1,0,0,17598,1
"West_Virginia","Cities","Buckhannon",1,0,0,0,0,"0",0,1,0,0,0,5649,1
"Colorado","Cities","Loveland",1,0,0,0,0,"0",0,0,1,0,0,71325,1
"Michigan","Cities","Jackson",1,0,0,0,0,"0",0,0,0,1,0,33378,1
"Colorado","Cities","Snowmass Village",1,0,0,0,0,"0",0,1,0,0,0,2851,1
"Oklahoma","Cities","Norman",3,1,0,0,0,"0",0,2,0,1,1,116970,4
"Washington","Cities","Vancouver",5,0,3,0,0,"0",0,2,5,0,1,166535,8
"Wisconsin","Cities","Janesville",2,0,0,0,0,"0",0,0,1,1,0,63603,2
"California","Cities","Temecula",1,0,0,0,0,"0",0,0,0,1,0,106680,1
"Vermont","Cities","Burlington",2,0,1,0,0,"0",0,0,1,1,1,42235,3
"South_Carolina","Cities","Columbia",1,0,1,0,0,"0",0,0,1,1,0,132240,2
"California","Universities and Colleges","University of California: Santa Cruz",0,0,1,0,0,"0",0,1,0,0,0,17404,1
"Vermont","Cities","St. Albans",1,0,0,0,0,"0",0,0,1,0,0,6888,1
"California","Cities","Camarillo",2,1,0,0,0,"0",0,1,1,1,0,66173,3
"Ohio","Cities","Boardman",1,0,0,0,0,"0",0,0,1,0,0,40277,1
"Montana","Cities","Hamilton",0,1,0,0,0,"0",0,0,0,0,1,4555,1
"Maine","Cities","Old Orchard Beach",1,0,0,0,0,"0",0,0,1,0,0,8681,1
"South_Carolina","Cities","Anderson",1,0,0,0,0,"0",0,0,0,0,1,26812,1
"Texas","Cities","San Angelo",1,0,0,0,0,"0",0,1,0,0,0,96661,1
"North_Carolina","Cities","Gastonia",0,1,0,0,0,"0",0,0,1,0,0,73049,1
"Vermont","Cities","South Burlington",0,1,0,0,0,"0",0,0,0,0,1,18549,1
"New_York","Universities and Colleges","State University of New York College: New Paltz",2,0,0,0,0,"0",0,0,0,0,2,7655,2
"North_Dakota","Cities","Williston",1,0,0,0,0,"0",0,0,0,0,1,19949,1
"Tennessee","Cities","Johnson City",2,0,0,0,0,"0",0,1,1,0,0,64928,2
"Tennessee","Cities","Paris",0,0,1,0,0,"0",0,0,0,0,1,10168,1
"California","Cities","Covina",0,2,1,0,0,"0",0,0,3,0,0,48524,3
"Pennsylvania","Cities","Lancaster",1,0,0,0,0,"0",0,0,1,0,0,59370,1
"Florida","Cities","Lake Alfred",0,0,0,1,0,"0",0,0,1,0,0,5148,1
"Tennessee","Cities","Mason",1,0,0,0,0,"0",0,0,1,0,0,1611,1
"Florida","Cities","Pembroke Pines",0,0,0,1,0,"0",0,0,0,1,0,162064,1
"Nebraska","Cities","Grand Island",0,0,0,2,0,"0",0,0,0,2,0,50441,2
"Colorado","Cities","Glendale",0,1,0,0,0,"0",0,1,0,0,0,4502,1
"Illinois","Cities","Crystal Lake",0,1,0,0,0,"0",0,0,0,1,0,40383,1
"Massachusetts","Cities","Lowell",0,0,1,1,0,"0",0,0,0,1,1,109449,2
"California","Cities","Auburn",1,0,0,0,0,"0",0,0,1,0,0,13779,1
"Massachusetts","Cities","Malden",1,2,0,0,0,"0",0,0,2,1,0,60816,3
"New_York","Cities","New Rochelle",1,2,0,0,0,"0",0,1,1,1,0,78800,3
"Illinois","Cities","Mokena",1,0,0,0,0,"0",0,0,1,0,0,19130,1
"Texas","Cities","Whitehouse",1,0,0,0,0,"0",0,1,NA,0,0,7919,1
"New_Jersey","Cities","East Orange",0,1,0,0,0,"0",0,0,0,0,1,64425,1
"Texas","Universities and Colleges","Southern Methodist University",2,1,0,0,0,"0",0,1,1,1,0,10893,3
"New_York","Cities","Yonkers",1,3,1,0,0,"1",1,2,0,3,2,199134,7
"California","Cities","Stanton",0,0,1,0,0,"0",0,0,1,0,0,39128,1
"Michigan","Cities","Buchanan",1,0,0,0,0,"0",0,0,1,0,0,4419,1
"Kentucky","Cities","Murray",1,0,1,0,0,"0",0,0,1,1,0,18048,2
"North_Dakota","Cities","Minot",1,0,0,0,0,"0",0,0,0,1,0,44635,1
"California","Cities","Daly City",0,2,1,0,0,"0",0,1,0,1,1,104536,3
"Rhode_Island","Cities","Newport",1,0,0,0,0,"0",0,0,0,1,0,23874,1
"Michigan","Cities","White Lake Township",0,1,0,0,0,"0",0,0,0,0,1,30585,1
"Michigan","Cities","Northville Township",1,0,0,0,0,"0",0,1,0,0,0,28734,1
"Colorado","Cities","Westminster",0,0,1,0,0,"0",0,1,0,0,0,110093,1
"Minnesota","Cities","Mankato",2,2,2,0,0,"0",0,0,2,2,2,40360,6
"Idaho","Cities","Caldwell",1,0,0,0,0,"0",0,1,0,0,0,48069,1
"Kentucky","Cities","Shelbyville",4,0,0,0,0,"0",0,0,1,2,1,14743,4
"New_Jersey","Cities","Manchester Township",3,0,0,0,0,"0",0,0,3,0,0,43013,3
"Texas","Cities","Longview",1,0,0,0,0,"0",0,0,0,1,0,81273,1
"Virginia","Cities","Radford",0,0,1,0,0,"0",0,0,1,0,0,16810,1
"New_Hampshire","Cities","Ashland",1,0,0,0,0,"0",0,0,1,0,0,2056,1
"Illinois","Cities","Pekin",2,0,0,0,0,"0",0,1,1,0,0,34085,2
"New_Jersey","Cities","Hillsborough Township",1,0,0,0,0,"0",0,0,1,0,0,39037,1
"Alaska","Cities","Anchorage",8,0,0,0,0,"0",0,2,3,3,0,299455,8
"Kentucky","Cities","Russellville",1,0,1,0,0,"0",0,0,1,1,0,6949,2
"Texas","Cities","Gainesville",1,0,0,0,0,"0",0,0,0,1,0,16089,1
"Michigan","Cities","Ferndale",0,0,1,0,0,"0",0,0,0,1,0,20104,1
"Kansas","Cities","Dodge City",1,0,0,0,0,"0",0,0,0,1,0,28265,1
"North_Carolina","Cities","Morganton",1,0,0,0,0,"0",0,0,1,0,0,16852,1
"Michigan","Cities","Muskegon Heights",6,0,0,0,0,"0",0,0,3,3,0,10768,6
"Michigan","Cities","Forsyth Township",1,0,0,0,0,"0",0,0,1,0,0,6278,1
"Utah","Cities","Moab",0,0,0,1,0,"0",0,0,1,0,0,5096,1
"Illinois","Universities and Colleges","University of Illinois, Springfield",1,0,0,0,0,"0",0,0,1,0,0,5048,1
"Connecticut","Cities","Newington",1,2,0,0,0,"0",0,NA,NA,1,2,30612,3
"New_Jersey","Cities","Holmdel Township",2,3,0,0,0,"0",0,2,2,0,1,16657,5
"Kentucky","Cities","Radcliff",2,0,0,0,0,"0",0,0,1,0,1,23177,2
"New_York","Cities","Jamestown",2,0,0,0,0,"0",0,1,0,0,1,30658,2
"Tennessee","Cities","Bristol",1,0,2,1,0,"0",0,0,0,0,5,26660,5
"New_Jersey","Cities","East Windsor Township",0,1,0,0,0,"0",0,0,0,1,0,27564,1
"New_Jersey","Cities","Fanwood",0,1,0,0,0,"0",0,0,0,1,0,7447,1
"Michigan","Cities","Meridian Township",4,0,0,0,0,"0",0,0,1,2,1,40609,4
"Kentucky","Universities and Colleges","University of Louisville",0,0,1,0,0,"0",0,0,0,1,0,21239,1
"Delaware","Cities","Smyrna",1,0,0,0,0,"0",0,1,0,0,0,10900,1
"Arizona","Cities","El Mirage",1,0,0,0,0,"0",0,0,0,1,0,32837,1
"New_York","Cities","Hamburg Town",1,0,0,0,0,"0",0,1,0,0,0,45535,1
"Michigan","Cities","Livonia",0,0,1,0,0,"0",0,0,0,0,1,95220,1
"Texas","Cities","McKinney",1,0,1,2,0,"0",0,0,1,1,2,146869,4
"California","Cities","Pacifica",0,1,0,0,0,"0",0,0,0,1,0,38494,1
"Michigan","Cities","Monroe",2,0,0,0,0,"0",0,0,1,1,0,20474,2
"Arizona","Cities","Tempe",1,0,2,0,0,"0",0,2,0,1,0,168501,3
"New_Jersey","Cities","Irvington",0,0,1,0,0,"0",0,0,0,1,0,54246,1
"West_Virginia","Cities","Moundsville",1,0,0,0,0,"0",0,0,0,0,1,9130,1
"New_York","Cities","Poughkeepsie Town",2,1,1,0,0,"0",0,0,2,1,2,43866,5
"Rhode_Island","Universities and Colleges","University of Rhode Island",1,0,0,0,0,"0",0,0,0,1,0,16451,1
"Illinois","Cities","Rockford",2,1,1,0,0,"0",0,0,2,2,0,150209,4
